[27/09/2021, 07:03:59] Oggbot#1237 (780927367626752000) | josh.w_47#8361 (462709536076333058) > 1,426 | daily
[27/09/2021, 07:04:08] Oggbot#1237 (780927367626752000) | jigglyhuff#5788 (500332880048947210) > 981 | daily
[27/09/2021, 07:12:15] Oggbot#1237 (780927367626752000) | skidmarks#8176 (404713115155038220) > 1,244 | daily
[27/09/2021, 08:47:42] Oggbot#1237 (780927367626752000) | Lily_067#0435 (792757174555377715) > 884 | daily
[27/09/2021, 09:36:17] Oggbot#1237 (780927367626752000) | MaxJWifi#8545 (690576690900107284) > 518 | daily
[27/09/2021, 15:14:58] Oggbot#1237 (780927367626752000) | bethan#2511 (584101687892115457) > 1,134 | daily
[27/09/2021, 15:28:55] Oggbot#1237 (780927367626752000) | fn#1009 (328249931544395776) > 815 | daily
[28/09/2021, 00:00:41] Oggbot#1237 (780927367626752000) | Commander Society#3190 (446027811426271232) > 1,395 | daily
[28/09/2021, 00:01:25] Oggbot#1237 (780927367626752000) | blobfordeath22#0080 (584150201489686529) > 1,102 | daily
[28/09/2021, 00:02:36] Oggbot#1237 (780927367626752000) | Spicy#8560 (433378984483618836) > 1,265 | daily
[28/09/2021, 00:04:54] Oggbot#1237 (780927367626752000) | arie#4639 (490240141181452308) > 1,151 | daily
[28/09/2021, 07:15:19] Oggbot#1237 (780927367626752000) | skidmarks#8176 (404713115155038220) > 940 | daily
[28/09/2021, 07:25:05] Oggbot#1237 (780927367626752000) | jigglyhuff#5788 (500332880048947210) > 1,492 | daily
[28/09/2021, 08:02:11] Oggbot#1237 (780927367626752000) | fn#1009 (328249931544395776) > 2,228 | daily
[28/09/2021, 10:07:04] Oggbot#1237 (780927367626752000) | Lily_067#0435 (792757174555377715) > 879 | daily
[28/09/2021, 10:33:32] Oggbot#1237 (780927367626752000) | MaxJWifi#8545 (690576690900107284) > 979 | daily
[28/09/2021, 15:48:26] Oggbot#1237 (780927367626752000) | MrMachineGuy#1812 (328247346557222913) > 995 | daily
[28/09/2021, 16:19:02] Oggbot#1237 (780927367626752000) | beepboop#2925 (730582272029229196) > 525 | daily
[28/09/2021, 18:00:08] Oggbot#1237 (780927367626752000) | sentic#0141 (758009732580769844) > 983 | daily
[29/09/2021, 00:00:47] Oggbot#1237 (780927367626752000) | Commander Society#3190 (446027811426271232) > 1,466 | daily
[29/09/2021, 00:03:14] Oggbot#1237 (780927367626752000) | Spicy#8560 (433378984483618836) > 1,245 | daily
[29/09/2021, 00:11:06] Oggbot#1237 (780927367626752000) | blobfordeath22#0080 (584150201489686529) > 1,367 | daily
[29/09/2021, 07:45:34] Oggbot#1237 (780927367626752000) | MrMachineGuy#1812 (328247346557222913) > 867 | daily
[29/09/2021, 07:47:36] Oggbot#1237 (780927367626752000) | fn#1009 (328249931544395776) > 1,253 | daily
[29/09/2021, 07:56:26] Oggbot#1237 (780927367626752000) | sentic#0141 (758009732580769844) > 1,328 | daily
[29/09/2021, 08:45:21] Oggbot#1237 (780927367626752000) | beepboop#2925 (730582272029229196) > 731 | daily
[29/09/2021, 09:58:16] Oggbot#1237 (780927367626752000) | Lily_067#0435 (792757174555377715) > 1,079 | daily
[29/09/2021, 15:16:35] Oggbot#1237 (780927367626752000) | jigglyhuff#5788 (500332880048947210) > 1,881 | daily
[29/09/2021, 17:33:16] Oggbot#1237 (780927367626752000) | skidmarks#8176 (404713115155038220) > 1,194 | daily
[29/09/2021, 19:49:22] Oggbot#1237 (780927367626752000) | bethan#2511 (584101687892115457) > 826 | daily
[29/09/2021, 21:36:35] sentic#0141 (758009732580769844) | Oggbot#1237 (780927367626752000) > 1,000 | lottery ticket
